ID,Gender,Age,Edu,Inc,Emp,Monthly_Spend,Retail_Platform,Adv,Soc,Grat,Ide,Rol,Val,Eff,Ach,MAH_1,filter_$,Spend,Occupation
339,1.0,2.0,2.0,2.0,1.0,2.0,0.0,3.0,3.0,36.666.666.666.666.600,5.0,5.0,1.0,5.0,4.333.333.333.333.330,23.834.650.812.945.100,1.0,2.0,2.0
142,1.0,2.0,1.0,2.0,1.0,1.0,0.0,16.666.666.666.666.600,3.5,1.0,1.0,2.25,1.25,4.5,2.0,239.224.553.735.314,1.0,1.0,3.0
297,2.0,1.0,2.0,1.0,4.0,1.0,0.0,4.666.666.666.666.660,5.0,1.0,3.0,3.0,4.0,5.0,5.0,2.592.408.685.610.320,1.0,1.0,6.0
124,1.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,36.666.666.666.666.600,28.851.021.874.698.900,0.0,1.0,1.0
178,1.0,0,2.0,2.0,1.0,1.0,0.0,5.0,3.0,1.0,3.0,2.0,1.0,3.0,23.333.333.333.333.300,2.886.072.601.278.450,0.0,1.0,3.0
24,1.0,1.0,1.0,2.0,1.0,2.0,0.0,36.666.666.666.666.600,2.75,5.0,1.0,4.5,1.0,5.0,5.0,30.109.986.468.660.500,0.0,2.0,3.0
351,1.0,1.0,1.0,2.0,1.0,2.0,0.0,5.0,3.5,4.333.333.333.333.330,1.0,5.0,3.0,1.0,5.0,3.169.034.187.594.590,0.0,2.0,3.0
43,2.0,1.0,1.0,1.0,2.0,1.0,1.0,23.333.333.333.333.300,2.0,36.666.666.666.666.600,3.0,3.0,4.0,1.0,5.0,3.213.917.024.514.310,0.0,1.0,4.0
282,2.0,1.0,2.0,2.0,0,2.0,1.0,16.666.666.666.666.600,1.0,16.666.666.666.666.600,1.0,1.5,4.0,3.0,5.0,3.234.522.491.015.800,0.0,2.0,0
33,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,3.0,1.0,1.0,4.0,3.0,1.0,1.0,366.703.681.659.795,0.0,2.0,4.0
